userID[0],userName[1],password[2],email[3],gender (M/F)[4],genderPreference (M/F)[5],age[6],country[7],state[8],postcode[9],latitude[10],longitude[11],interest1[12],interest2[13],interest3[14],interest4[15],interest5[16],interest6[17],interest7[18],interest8[19],interest9[20],interest10[21]
00001,TING,12345,ting@gmail.com,M,M,18,Malaysia,Selangor,40100,3.074311,101.53332,Playing musical instruments,Listening to music,Gymnastics,Badminton,Jogging,Basketball,,,,
00002,TAN,000000,tan@gmail.com,F,M,20,Malaysia,Perlis,01000,6.444320,100.193318,Listening to music,Travelling,Reading books,Frisbee,Jogging,Netball,,,,
00003,KUAY,kuay08,kuay08@gmail.com,F,F,21,Malaysia,Penang,11100,5.467936,100.248352,Board Games,Social Media,Board games,Swimming,Jogging,Ping pong,,,,
00004,Samantha,ahtnamaS,samlee@gmail.com,F,M,20,Malaysia,Selangor,45000,3.362568,101.41792,Dance,Volleyball,Scrapbooking,,,,,,,
00005,Ian Tee,eeTnaI,iantee@yahoo.com,M,F,25,Malaysia,Selangor,46000,3.098565,101.652353,Playing musical instruments,Softball,Painting,Scrapbooking,,,,,,
00006,Kelvin Choi,cHoi000,kelvin2001@gmail.com,M,F,19,Malaysia,Selangor,47100,2.992528,101.615307,Video editing,Jogging,Origami,Photography,,,,,,
00007,Khairina Malika,Khaiiiiiiii,khaiirina@gmail.com,F,M,23,Malaysia,Penang,11400,5.406887,100.295071,Climb mountain,Rugby,Table tennis,,,,,,,
00008,Lydia Fu,1iDy@fu,lydiafyn@gmail.com,F,M,20,Malaysia,Penang,10300,5.415118,100.339284,Lego building,Futsal,Football,Video game developing,,,,,,
00009,Najib Razak,donation,HappyE@ster.com,M,F,67,Malaysia,Kedah ,09000,5.402153,100.572832,Shopping,Digital arts,Singing,Golf,Jogging,Taekwondo,,,,
00010,Preeta,preeta98,preeta@gmail.com,F,M,22,Sri Lanka,,,7.873054,80.771797,Jewelry making,Singing,Listening to music,,,,,,,
00011,Muhamad Syed,muhamadmari,muhamari@gmail.com,M,F,20,Afghanistan,,,33.93911,67.709953,Gaming,Listening to podcasts,Archery,,,,,,,
00012,Karamjit,karakara,karaary@gmail.com,M,M,30,Ecuador,,,-1.831239,-78.183406,Photography,Jogging,Short track,Frisbee,,,,,,
00013,George Abram,mynameisgeorge,george.abram@icloud.com,M,M,35,United Kingdom,,,55.378051,-3.435973,Board games,Juggling,Frisbee,,,,,,,
00015,Sakuntalamma,Sa_ku@123,sakun_atoz@yahoo.com,F,F,25,India,,,20.593684,78.96288,Knitting,Fashion design,Cooking,,,,,,,
